a;b;f(a);f(b);X_k;f(X_k);Erro relativo
0.0;1.0;0.017679532511286733;-0.05109321881345241;0.5;-0.0007303876974548151;0.5
0.0;0.5;0.017679532511286733;-0.0007303876974548151;0.25;0.012721264348355077;0.25
0.25;0.5;0.012721264348355077;-0.0007303876974548151;0.375;0.007028610000272106;0.125
0.375;0.5;0.007028610000272106;-0.0007303876974548151;0.4375;0.0034035652497070856;0.0625
0.4375;0.5;0.0034035652497070856;-0.0007303876974548151;0.46875;0.0013997055548380377;0.03125
0.46875;0.5;0.0013997055548380377;-0.0007303876974548151;0.484375;0.00035037498638001985;0.015625
0.484375;0.5;0.00035037498638001985;-0.0007303876974548151;0.4921875;-0.0001860852980868355;0.0078125
