a;b;f(a);f(b);X_k;f(X_k);Erro relativo
-1.0;0.0;-0.054200000000000026;0.017679532511286733;-0.5;0.0005852804032304704;0.5
-1.0;-0.5;-0.054200000000000026;0.0005852804032304704;-0.75;-0.022015273327803064;0.25
-0.75;-0.5;-0.022015273327803064;0.0005852804032304704;-0.625;-0.009523490035219018;0.125
-0.625;-0.5;-0.009523490035219018;0.0005852804032304704;-0.5625;-0.004172357611058719;0.0625
-0.5625;-0.5;-0.004172357611058719;0.0005852804032304704;-0.53125;-0.0017195125687837765;0.03125
-0.53125;-0.5;-0.0017195125687837765;0.0005852804032304704;-0.515625;-0.0005486308904447679;0.015625
-0.515625;-0.5;-0.0005486308904447679;0.0005852804032304704;-0.5078125;2.2943313754519856e-05;0.0078125
