a;b;f(a);f(b);X_k;f(X_k);Erro relativo
0.5;1.0;-0.4431471805599453;1.0;0.75;0.2748179275482191;0.25
0.5;0.75;-0.4431471805599453;0.2748179275482191;0.625;-0.07937862924573558;0.125
0.625;0.75;-0.07937862924573558;0.2748179275482191;0.6875;0.0979628005585893;0.0625
0.625;0.6875;-0.07937862924573558;0.0979628005585893;0.65625;0.009450597423696472;0.03125
0.625;0.65625;-0.07937862924573558;0.009450597423696472;0.640625;-0.034910626030364045;0.015625
0.640625;0.65625;-0.034910626030364045;0.009450597423696472;0.6484375;-0.01271846471676924;0.0078125
