a;b;f(a);f(b);X_k;f(X_k);Erro relativo
0.5;1.0;-0.229425538604203;0.1585290151921035;0.75;-0.11913876002333412;0.25
0.75;1.0;-0.11913876002333412;0.1585290151921035;0.875;-0.0019185022360270754;0.125
0.875;1.0;-0.0019185022360270754;0.1585290151921035;0.9375;0.07282514173930699;0.0625
0.875;0.9375;-0.0019185022360270754;0.07282514173930699;0.90625;0.03409241516805106;0.03125
0.875;0.90625;-0.0019185022360270754;0.03409241516805106;0.890625;0.015747912378999196;0.015625
0.875;0.890625;-0.0019185022360270754;0.015747912378999196;0.8828125;0.00683009435717552;0.0078125
