a;b;f(a);f(b);X_k;f(X_k);Erro relativo
0.5;1.0;-0.1756393646499359;1.718281828459045;0.75;0.5877500124595061;0.25
0.5;0.75;-0.1756393646499359;0.5877500124595061;0.625;0.16765372339513895;0.125
0.5;0.625;-0.1756393646499359;0.16765372339513895;0.5625;-0.012781755459832067;0.0625
0.5625;0.625;-0.012781755459832067;0.16765372339513895;0.59375;0.07514235532088609;0.03125
0.5625;0.59375;-0.012781755459832067;0.07514235532088609;0.578125;0.030619243926830464;0.015625
0.5625;0.578125;-0.012781755459832067;0.030619243926830464;0.5703125;0.00877999726824319;0.0078125
